Event_ID,Year,Jurisdiction,Governance_Level,Macro_Category,Governance_Architecture,Redistribution_Type,Source_URL,Source_Quote,Coding_Rationale
V-115,2023,China,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.globallegalinsights.com/practice-areas/ai-machine-learning-and-big-data-laws-and-regulations/china/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-116,2024,China,National,GRID_REGULATION,Steering,Sectoral,https://www.carbonbrief.org/explainer-how-china-is-managing-the-rising-energy-demand-from-data-centres/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-117,2025,China,National,NUCLEAR_PROCUREMENT,Facilitation,Temporal,https://www.nuclearbusiness-platform.com/media/insights/nuclear-energy-to-power-ai,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-118,2025,China,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.tomshardware.com/tech-industry/semiconductors/china-bans-foreign-ai-chips-from-state-funded-data-centers,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-119,2025,China,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-120,2023,India,National,REGULATORY_FRAMEWORK,Steering,Spatial,https://www.singularityone.in/p/inside-indias-data-center-build-out,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-121,2025,India,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://psa.gov.in/CMS/web/sites/default/files/publication/WP_Democratising%20Access_V3.0_29122025A.pdf,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-122,2025,Chhattisgarh,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.computerweekly.com/news/366629299/India-revives-national-datacentre-policy-amid-AI-push,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-123,2025,India,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.privacyworld.blog/2025/12/india-issues-2025-ai-governance-guidelines-how-it-compares-to-other-global-ai-acts/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-124,2025,Taiwan,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://taiwaninsight.org/2025/10/06/powering-the-silicon-island-can-taiwan-keep-the-lights-on-for-ai/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-125,2025,Taiwan,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://taiwaninsight.org/2025/10/06/powering-the-silicon-island-can-taiwan-keep-the-lights-on-for-ai/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-127,2025,UAE,National,NUCLEAR_PROCUREMENT,Facilitation,Temporal,https://aninews.in/news/world/middle-east/uae-marks-2025-with-strategic-ai-transformation-infrastructure-leadership20251222144241/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-129,2025,UAE,National,NUCLEAR_PROCUREMENT,Facilitation,Temporal,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-130,2025,Saudi Arabia,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-131,2025,Saudi Arabia,National,NUCLEAR_PROCUREMENT,Facilitation,Temporal,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-132,2025,Israel,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.jns.org/israel-playing-catch-up-in-ai-after-two-years-of-war/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-134,2025,Spain,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.jonesday.com/en/insights/2025/08/sustainability-obligations-for-spanish-data-centers,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-135,2025,Spain,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.globalpolicywatch.com/2025/09/spain-proposes-strict-sustainability-requirements-for-data-centers/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-136,2024,Italy,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-137,2024,Lombardy,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-138,2025,Italy,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-139,2025,Sweden,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://www.energimyndigheten.se/en/sustainability/data-centers-energy-performance/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-141,2023,Finland,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://blog.se.com/infrastructure-and-grid/2024/05/31/nordic-energy-policy-and-energy-efficiency/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-142,2025,Finland,National,GRID_REGULATION,Constraint,Sectoral,https://www.orbitalindustries.com/posts/wasted-power-data-center-regulation-in-the-eu,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-143,2025,Denmark,National,GRID_REGULATION,Facilitation,Spatial,https://ember-energy.org/chapter/chapter-1-grids-for-data-centres/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-144,2024,Denmark,National,GRID_REGULATION,Facilitation,Sectoral,https://pexapark.com/blog/prmc-breaking-down-the-data-center-surge-in-the-nordics-key-players-trends-and-ppas/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-145,2023,Norway,National,REGULATORY_FRAMEWORK,Steering,Sectoral,https://datacenter-forum.ro/en/the-data-center-industry-beyond-flap-d-key-national-policies-and-projects-making-a-difference/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-147,2024,Malaysia,National,MORATORIUM,Constraint,Spatial,https://news.mongabay.com/2025/11/ai-data-center-revolution-sucks-up-worlds-energy-water-materials/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-149,2025,EU,Supranational,REGULATORY_FRAMEWORK,Steering,Spatial,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-152,2024,Germany,National,GRID_REGULATION,Steering,Sectoral,https://datacenter-forum.ro/en/the-data-center-industry-beyond-flap-d-key-national-policies-and-projects-making-a-difference/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-154,2025,EU,Supranational,REGULATORY_FRAMEWORK,Steering,Sectoral,https://ember-energy.org/chapter/chapter-1-grids-for-data-centres/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-155,2025,EU,Supranational,REGULATORY_FRAMEWORK,Steering,Spatial,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
